PoleNum,Latitude,Longitude,Ownership%,Owner1,Owner2,Owner3,Attachment#,"Renter Company","Start Date","Attachment Asset Type","Attachment Type","Attachment Method","Colashed to",Comment1,Comment2,"Pole Status","Attachment Status","Pole Mobile3","Valid Attachment","Data as of"
1374918,47.667354048145,-122.384837556,50,SCL,CLINK,,3427700,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374916,47.66683540992,-122.3838284327,50,SCL,CLINK,,3427698,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374917,47.6666182701,-122.3835715514,50,SCL,CLINK,,3427699,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374919,47.667551971444,-122.3848461791,100,SCL,,,3427701,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1374920,47.66767847133,-122.3850331048,50,SCL,CLINK,,3427702,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374921,47.668234103014,-122.3871049273,50,SCL,CLINK,,3427703,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374815,47.668967529291,-122.3787977134,50,SCL,CLINK,,3425898,"VERIZON BUSINESS",2021/02/09,JUATTACH,CABLE,DIRECT,,"App# 20-007",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1369017,47.667954131718,-122.3752162906,50,SCL,CLINK,,3427887,"VERIZON BUSINESS",2021/06/03,JUATTACH,CABLE,DIRECT,,"App# 20-126",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1369020,47.667953359165,-122.374817178,50,SCL,CLINK,,3427888,"VERIZON BUSINESS",2021/06/03,JUATTACH,CABLE,DIRECT,,"App# 20-126",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1369021,47.667954630244,-122.3744114679,50,SCL,CLINK,,3427889,"VERIZON BUSINESS",2021/06/03,JUATTACH,CABLE,DIRECT,,"App# 20-126",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
